Timestamp,Temperature,Humidity,CO2,Pressure
1441058626,27.6,71,252,1012
1441058930,27.6,71,263,1011.9
1441059234,27.6,71,272,1011.8
1441059538,27.6,70,260,1011.8
1441059842,27.6,70,269,1011.6
1441060146,27.6,70,267,1011.6
1441060446,27.6,70,266,1011.5
1441060750,27.6,70,263,1011.3
1441061054,27.6,70,278,1011.1
1441061355,27.6,70,267,1011.1
1441061658,27.6,70,273,1011
1441061962,27.6,70,259,1010.9
1441062267,27.6,69,269,1010.6
1441062567,27.6,69,260,1010.4
1441062871,27.6,69,261,1009.9
1441063176,27.6,69,259,1009
1441063480,27.6,68,251,1008.1
1441063780,27.6,68,261,1008.5
1441064084,27.6,68,264,1008.5
1441064383,27.6,68,263,1008.8
1441064684,27.6,68,256,1009.2
1441064984,27.6,67,256,1009.4
1441065284,27.6,67,253,1009.5
1441065585,27.6,67,258,1009.7
1441065886,27.6,67,246,1009.4
1441066185,27.6,66,261,1009.5
1441066489,27.5,66,251,1009.6
1441066793,27.5,66,252,1009.7
1441067094,27.5,66,253,1009.7
1441067398,27.5,66,254,1009.7
1441067702,27.5,66,238,1009.6
1441068002,27.5,66,257,1009.8
1441068306,27.5,67,248,1009.8
1441068609,27.5,66,253,1009.7
1441068913,27.5,67,255,1009.9
1441069218,27.5,67,247,1009.8
1441069522,27.5,67,249,1009.9
1441069825,27.5,67,243,1010
1441070129,27.5,67,260,1010.1
1441070434,27.5,67,254,1010.3
1441070734,27.5,67,252,1010.1
1441071038,27.5,66,254,1010.2
1441071338,27.5,66,260,1010.3
1441071641,27.5,67,247,1010.3
1441071945,27.5,66,259,1010.4
1441072249,27.5,66,248,1010.8
1441072552,27.5,66,247,1010.8
1441072858,27.5,66,248,1010.8
1441073161,27.5,66,248,1010.9
1441073460,27.5,66,246,1011.1
1441073761,27.5,66,251,1011.4
1441074066,27.5,66,253,1011.5
1441074366,27.5,66,249,1011.4
1441074670,27.5,66,251,1011.6
1441074974,27.4,66,253,1011.6
1441075274,27.4,67,250,1011.5
1441075578,27.4,67,245,1011.4
1441075878,27.5,68,250,1011.5
1441076178,27.4,67,258,1011.5
1441076478,27.5,68,246,1011.3
1441076782,27.4,68,243,1011.3
1441077083,27.5,68,244,1011.2
1441077383,27.4,68,245,1011.1
1441077683,27.5,68,245,1011
1441077987,27.4,68,242,1011.1
1441078291,27.5,68,242,1011
1441078595,27.4,68,242,1011
1441078895,27.4,68,251,1011.3
1441079195,27.4,68,236,1011.3
1441079498,27.4,68,239,1011.3
1441079803,27.4,68,239,1011
1441080103,27.4,69,235,1011.2
1441080404,27.4,69,237,1011.2
1441080706,27.4,68,236,1011.1
1441081006,27.4,69,240,1011.1
1441081306,27.4,69,243,1011.1
1441081610,27.4,69,252,1011
1441081914,27.4,69,240,1011
1441082214,27.4,69,247,1011.2
1441082514,27.4,69,238,1011.2
1441082818,27.4,69,237,1011.3
1441083120,27.4,69,244,1011.4
1441083420,27.4,69,245,1011.5
1441083724,27.4,69,247,1011.6
1441084028,27.4,69,234,1011.9
1441084332,27.4,69,233,1011.8
1441084632,27.4,69,247,1011.8
1441084936,27.4,69,249,1012.1
1441085240,27.4,69,240,1012
1441085544,27.4,68,238,1012.2
1441085848,27.4,68,244,1012.3
1441086148,27.4,68,236,1012.4
1441086452,27.4,68,245,1012.5
1441086756,27.4,68,251,1012.5
1441087059,27.4,68,246,1012.6
1441087363,27.4,68,245,1012.6
1441087667,27.3,68,242,1012.7
1441087972,27.4,68,245,1012.7
1441088276,27.3,68,239,1012.7
1441088579,27.3,68,250,1012.8
1441088883,27.3,68,240,1012.7
1441089188,27.3,68,244,1012.7
1441089488,27.3,68,251,1012.8
1441089791,27.3,68,243,1012.7
1441090096,27.3,68,251,1012.9
1441090399,27.4,67,251,1012.9
1441090703,27.3,67,242,1012.9
1441091007,27.3,67,243,1013
1441091311,27.3,67,231,1013
1441091615,27.3,68,252,1013.1
1441091915,27.3,68,243,1013.1
1441092215,27.4,68,245,1013.2
1441092516,27.3,68,240,1013.1
1441092821,27.4,68,247,1012.8
1441093121,27.4,68,248,1012.9
1441093420,27.4,67,247,1013.1
1441093720,27.4,67,243,1013
1441094021,27.4,67,243,1013.2
1441094321,27.4,67,252,1013.2
1441094622,27.4,67,245,1013.1
1441094922,27.4,67,242,1013.2
1441095226,27.5,67,245,1013.2
1441095526,27.5,67,245,1013.2
1441095830,27.5,67,242,1013.2
1441096131,27.5,67,240,1013.3
1441096430,27.5,67,242,1013.3
1441096730,27.5,67,239,1013.3
1441097034,27.5,67,243,1013.3
1441097334,27.5,67,247,1013.5
1441097635,27.5,67,241,1013.4
1441097936,27.5,67,240,1013.4
1441098235,27.5,67,241,1013.4
1441098536,27.5,67,247,1013.4
1441098840,27.5,67,245,1013.4
1441099140,27.5,67,251,1013.5
1441099445,27.5,67,240,1013.4
1441099746,27.5,67,242,1013.4
1441100045,27.5,67,251,1013.4
1441100345,27.5,67,236,1013.3
1441100645,27.5,67,249,1013.4
1441100946,27.5,67,241,1013.5
1441101246,27.5,66,243,1013.5
1441101547,27.5,66,251,1013.5
1441101848,27.5,66,248,1013.4
1441102152,27.5,66,255,1013.4
1441102451,27.5,66,244,1013.5
1441102751,27.5,66,260,1013.4
1441103052,27.5,65,267,1013.4
1441103356,27.6,65,280,1013.4
1441103657,27.6,64,281,1013.4
1441103961,27.6,64,291,1013.5
1441104261,27.7,64,287,1013.4
1441104561,27.7,64,301,1013.3
1441104865,27.8,64,333,1013.3
1441105165,27.8,64,334,1013.5
1441105465,27.8,63,303,1013.5
1441105765,27.8,63,306,1013.4
1441106066,27.8,64,305,1013.2
1441106370,27.8,64,332,1013.4
1441106671,27.8,64,330,1013.3
